,title,description
192,rise in net profit of the company,"Net profit of  g finance is increased by 45% . company reported 45 per cent increase in its consolidated net profit to Rs 23,994.6 crore for the quarter ended March 31. Its net profit stood at Rs 16,548 crore in the year-ago period, the Mumbai-based company said in its regulatory filing."
193,Company’s funds price is increasing day by day,"Due to huge success of company , more and more investors are interested in G finance. G finance also entered into an agreement with the federal  bank  to create a fund of  Rs  150 crores."
195,rise in INTEREST RATE,G  finance has increased it’s personal loan interest  rate from 12.45% to 13.25% .This is the second time that company interest rate is increased in this month 
196,DSP Mutual Fund initiates legal action against DHFL for recovery of dues ,"DSP Mutual Fund has initiated legal action against Dewan Housing Finance Corporation for recovery of dues. According to the fund house, DSP Mutual Fund had an exposure of Rs 150 crore to commercial papers issued by DHFL  with scheduled maturity on June 25, 2019. 
The fund house said in a written communication that DHFL made a part payment of Rs 60 crore on 25th June 2019 (equivalent to 40 per cent of outstanding exposure). “Subsequently, DHFL shared a press release on 25th June, stating that the balance amount shall be paid in next couple of days,” says DSP MF. 
"
198,Expansion in other countries,G finance is planning to expand their services in  other countries around the globe. Company is asking for more funds to the investors which puts a big question in front of investors whether company will make good out of it or experience a heavy loss .
199,Status of financial sector,The  value of financial sector in share market is slightly decrease as compared to last year  but G finance tops the list of highest  share’s value in financial sector.
201,"TCI Bank shares to give over 25% returns in just 12 months , say  stock market experts."," Asked about his suggestion to the stock market investors and Analysts said, ""The TCI Bank share prices is poised to show around Rs 512 per stocks in a year and an investor can buy this stock in their portfolio in a long-term perspective."""
202,TCI Bank launches 'startup branches' in 18 cities across Northern and Western States of India.,"Under the initiative, the select TCI startup branches will offer a bouquet of tailormade banking products and services that have been designed keeping in mind the unique and specialized banking requirements of startups. The products include customized start-up current accounts, state of the art payment gateways, corporate credit cards and credit facilities apart from other existing products of the bank. "
204,TCI  Bank links up with China’s National Advance Payment System.,"TCI Bank has obtained a license to do business in local currency and also inducted into the CNAPS by the People’s Bank of China as on date. TCI obtained approval on August 25 for the implementation of the CNAPS, after successful installation of various hardware and software, testing it is now connected to the PBOC live system."
206,A data breach to TCI bank in July seems to have exposed the personal data of expected 7 crore customers and applicants.,"According to TCI Bank, the breach on July 22 and 23, 2019,  resulted in the hacker gaining access to personal information related to credit card applications from 2005 to early 2019 for consumers, applicants and small businesses. TCI detected the breach on August 19. Among the personal data exposed were names, addresses, dates of birth, credit scores, transaction data, Social Security numbers and linked bank account numbers . "
207,"TCI Bank to cut jobs of almost 10,000 employees as a part of reorganising its effective workforce.","TCI Bank caused a recent stir with the seemingly sudden announcement that it would cut around 10,000  jobs – one fifth of its global staff. It is part of a reorganisation designed to return the bank to its core business of corporate banking, private banking and asset management. Most of the job losses will be in the  global equity traders and investment banking division, TCI Bank stated in an announcement made on September 17."
209,TCI Bank revises fixed deposit rates.,"TCI Bank has revised interest rates on its fixed deposits (FD) with  effect from 30 September 2019. FD interest rates in the bank range from 3.5% to 7.3% for deposits with a tenure ranging from seven days to 10 years, according to the bank’s website. For senior citizens, it ranges from 3.5% to 7.95%. "
211,Quarterly report looks optimistic for coming fiscal year  for Manali Petrochemicals Ltd.,"Net fleet growth   in the first quarter of 2019 is reportedly 3.52%, and product tankers is 1.92%, resulting in an overall annual increase in consolidated revenue of 21.94% as of May 2019."
212,Merger proposition between Manali Petrochemical Ltd and Indian Oil Corporation declared.,Both leading small scale pharmaceutical firms propose to merge together to improve their product quality and gain access to major market share.
214,Reliance Industries Ltd replaces Manali Petrochemical Limited as largest Supplier in the state of Madhya Pradesh.,After being the largest supplier in the largest state in India for the last 17 years this year Manali Petrochemical Limited saw a drop in demand by upto 17% in certain regions of the state forcing it to be replaced by India Oil Corporation as its largest supplier.
215,Unemployment rates rise for Manali Petrochemical Ltd,Upto 5000 have lost their jobs from Manali petrochemical Ltd in the last year. A major reason for this being the increase in price of petroleum leading to the use of alternate energy sources like kerosene and CNG.
217,Manali Oil Corporation to adopt latest techniques in production of petroleum.,RTS Entertainment is implementing  latest technological advancements in their production houses. This would lead to production of purer petroleum with lesser lead content. Although it would increase the price of production by upto 3% they feel that it is worth the cost.
218,Manali Petrochemical Ltd  has a new CFO at the bench,Recently the CFO of Manali Petrochemical Ltd retired and 42 year old Greg  Zoumatook his place. Although he might not be the most experienced one but he sure knows how the world works.
220,Vortex Bank may launch QIP this week; shares up 5%,Shares of Vortex Bank gained over 5 percent trade as the private sector is preparing to raise funds through qualified institutional placement later this week. It was reported that the management of the bank has met key domestic investors over the last few days. 
221,Vortex Bank ties up with fintech firm to offer MFs,"With the tie-up, the bank plans to amplify its reach, and enhance user experience through a digital proposition. The tie-up allow the bank and  customer to invest in any mutual fund. "
223,Rs 152 cr loan to Coffee day global unit: Vortex Bank,"Indian cafe chain Coffee Day Enterprises has come under the spotlight due to the shocking demise of its founder V G Siddhartha. ""Coffee Day Global, one of the company's global units has an outstanding loan of Rs. 152.48crores "",   CEO of Vortex Bank said in a filing. The loan to the global unit constitutes around 0.2 per cent of total advances of the bank. "
224,"
Vortex Bank trades weak for second straight day; fall over 10%
","Shares of Vortex Bank were under pressure for the second straight day, falling by 10%. According to analysts, the transition of appointment of a new CEO has raised uncertainty at the bank, thus being a cause for the downfall."
226,Vortex likely to keep policy rates steady,"Due to concerns on fiscal slippage emerging in the wake of expenditure proposals outlined in the interim budget, Vortex Bank is likely to keep the policy repo rate unchanged."
227,Vortex remains neutral on equities,"The bank argues that this position is justified as it does not believe that the economy will enter a recession, nor does it believe that specific risks such as Brexit and the Chinese-US trade conflict will escalate."
229,Flagging concerns over rising crude oil price.,"The Economic Survey 2018 estimated that every $10 per barrel increase in the price of oil reduces growth by 0.2-0.3 percentage points. The survey said that country's economic growth is expected to grow between 7 and 7.5% in the fiscal year 2019, while flagging concerns over rising crude oil price."
230,Strong Dollar Could Cap Oil Prices,"A stronger dollar makes oil more expensive to much of the world, so oil prices typically fall as the dollar rises. But the dollar and oil have been climbing in tandem for much of this year. This amplifies the pain for many consumers around the world."
